t,share_N,share_E,share_F,run_id,source
44,0.145,0.855,0.0,4,theory_closure
45,0.145,0.855,0.0,4,theory_closure
46,0.145,0.855,0.0,4,theory_closure
47,0.145,0.855,0.0,4,theory_closure
48,0.145,0.855,0.0,4,theory_closure
49,0.145,0.855,0.0,4,theory_closure
50,0.145,0.855,0.0,4,theory_closure
51,0.145,0.855,0.0,4,theory_closure
52,0.145,0.855,0.0,4,theory_closure
53,0.145,0.855,0.0,4,theory_closure
54,0.145,0.855,0.0,4,theory_closure
55,0.145,0.855,0.0,4,theory_closure
56,0.145,0.855,0.0,4,theory_closure
57,0.145,0.855,0.0,4,theory_closure
58,0.145,0.855,0.0,4,theory_closure
59,0.145,0.855,0.0,4,theory_closure
60,0.145,0.855,0.0,4,theory_closure
61,0.145,0.855,0.0,4,theory_closure
62,0.145,0.855,0.0,4,theory_closure
63,0.145,0.855,0.0,4,theory_closure
64,0.145,0.855,0.0,4,theory_closure
65,0.145,0.855,0.0,4,theory_closure
66,0.145,0.855,0.0,4,theory_closure
67,0.145,0.855,0.0,4,theory_closure
68,0.145,0.855,0.0,4,theory_closure
69,0.145,0.855,0.0,4,theory_closure
70,0.145,0.855,0.0,4,theory_closure
71,0.145,0.855,0.0,4,theory_closure
72,0.145,0.855,0.0,4,theory_closure
73,0.145,0.855,0.0,4,theory_closure
74,0.145,0.855,0.0,4,theory_closure
75,0.145,0.855,0.0,4,theory_closure
76,0.145,0.855,0.0,4,theory_closure
77,0.145,0.855,0.0,4,theory_closure
78,0.145,0.855,0.0,4,theory_closure
79,0.145,0.855,0.0,4,theory_closure
80,0.145,0.855,0.0,4,theory_closure
81,0.145,0.855,0.0,4,theory_closure
82,0.145,0.855,0.0,4,theory_closure
83,0.145,0.855,0.0,4,theory_closure
84,0.145,0.855,0.0,4,theory_closure
85,0.145,0.855,0.0,4,theory_closure
86,0.145,0.855,0.0,4,theory_closure
87,0.145,0.855,0.0,4,theory_closure
88,0.145,0.855,0.0,4,theory_closure
89,0.145,0.855,0.0,4,theory_closure
90,0.145,0.855,0.0,4,theory_closure
91,0.145,0.855,0.0,4,theory_closure
92,0.145,0.855,0.0,4,theory_closure
93,0.145,0.855,0.0,4,theory_closure
94,0.145,0.855,0.0,4,theory_closure
95,0.145,0.855,0.0,4,theory_closure
96,0.145,0.855,0.0,4,theory_closure
97,0.145,0.855,0.0,4,theory_closure
98,0.145,0.855,0.0,4,theory_closure
99,0.145,0.855,0.0,4,theory_closure
100,0.145,0.855,0.0,4,theory_closure
0,0.0,1.0,0.0,5,simulation
1,0.0,1.0,0.0,5,simulation
2,0.0,1.0,0.0,5,simulation
3,0.005,0.995,0.0,5,simulation
4,0.015,0.985,0.0,5,simulation
0,0.0,1.0,0.0,5,theory_closure
1,0.105,0.895,0.0,5,theory_closure
2,0.105,0.895,0.0,5,theory_closure
3,0.105,0.895,0.0,5,theory_closure
4,0.105,0.895,0.0,5,theory_closure
5,0.105,0.895,0.0,5,theory_closure
6,0.105,0.895,0.0,5,theory_closure
7,0.105,0.895,0.0,5,theory_closure
8,0.105,0.895,0.0,5,theory_closure
9,0.105,0.895,0.0,5,theory_closure
10,0.105,0.895,0.0,5,theory_closure
11,0.105,0.895,0.0,5,theory_closure
12,0.105,0.895,0.0,5,theory_closure
13,0.105,0.895,0.0,5,theory_closure
14,0.105,0.895,0.0,5,theory_closure
15,0.105,0.895,0.0,5,theory_closure
16,0.105,0.895,0.0,5,theory_closure
17,0.105,0.895,0.0,5,theory_closure
18,0.105,0.895,0.0,5,theory_closure
19,0.105,0.895,0.0,5,theory_closure
20,0.105,0.895,0.0,5,theory_closure
21,0.105,0.895,0.0,5,theory_closure
22,0.105,0.895,0.0,5,theory_closure
23,0.105,0.895,0.0,5,theory_closure
24,0.105,0.895,0.0,5,theory_closure
25,0.105,0.895,0.0,5,theory_closure
26,0.105,0.895,0.0,5,theory_closure
27,0.105,0.895,0.0,5,theory_closure
28,0.105,0.895,0.0,5,theory_closure
29,0.105,0.895,0.0,5,theory_closure
30,0.105,0.895,0.0,5,theory_closure
31,0.105,0.895,0.0,5,theory_closure
32,0.105,0.895,0.0,5,theory_closure
33,0.105,0.895,0.0,5,theory_closure
34,0.105,0.895,0.0,5,theory_closure
35,0.105,0.895,0.0,5,theory_closure
36,0.105,0.895,0.0,5,theory_closure
37,0.105,0.895,0.0,5,theory_closure
38,0.105,0.895,0.0,5,theory_closure
39,0.105,0.895,0.0,5,theory_closure
40,0.105,0.895,0.0,5,theory_closure
41,0.105,0.895,0.0,5,theory_closure
42,0.105,0.895,0.0,5,theory_closure
43,0.105,0.895,0.0,5,theory_closure
44,0.105,0.895,0.0,5,theory_closure
45,0.105,0.895,0.0,5,theory_closure
46,0.105,0.895,0.0,5,theory_closure
47,0.105,0.895,0.0,5,theory_closure
48,0.105,0.895,0.0,5,theory_closure
49,0.105,0.895,0.0,5,theory_closure
50,0.105,0.895,0.0,5,theory_closure
51,0.105,0.895,0.0,5,theory_closure
52,0.105,0.895,0.0,5,theory_closure
53,0.105,0.895,0.0,5,theory_closure
54,0.105,0.895,0.0,5,theory_closure
55,0.105,0.895,0.0,5,theory_closure
56,0.105,0.895,0.0,5,theory_closure
57,0.105,0.895,0.0,5,theory_closure
58,0.105,0.895,0.0,5,theory_closure
59,0.105,0.895,0.0,5,theory_closure
60,0.105,0.895,0.0,5,theory_closure
61,0.105,0.895,0.0,5,theory_closure
62,0.105,0.895,0.0,5,theory_closure
63,0.105,0.895,0.0,5,theory_closure
64,0.105,0.895,0.0,5,theory_closure
65,0.105,0.895,0.0,5,theory_closure
66,0.105,0.895,0.0,5,theory_closure
67,0.105,0.895,0.0,5,theory_closure
68,0.105,0.895,0.0,5,theory_closure
69,0.105,0.895,0.0,5,theory_closure
70,0.105,0.895,0.0,5,theory_closure
71,0.105,0.895,0.0,5,theory_closure
72,0.105,0.895,0.0,5,theory_closure
73,0.105,0.895,0.0,5,theory_closure
74,0.105,0.895,0.0,5,theory_closure
75,0.105,0.895,0.0,5,theory_closure
76,0.105,0.895,0.0,5,theory_closure
77,0.105,0.895,0.0,5,theory_closure
78,0.105,0.895,0.0,5,theory_closure
79,0.105,0.895,0.0,5,theory_closure
80,0.105,0.895,0.0,5,theory_closure
81,0.105,0.895,0.0,5,theory_closure
82,0.105,0.895,0.0,5,theory_closure
83,0.105,0.895,0.0,5,theory_closure
84,0.105,0.895,0.0,5,theory_closure
85,0.105,0.895,0.0,5,theory_closure
86,0.105,0.895,0.0,5,theory_closure
87,0.105,0.895,0.0,5,theory_closure
88,0.105,0.895,0.0,5,theory_closure
89,0.105,0.895,0.0,5,theory_closure
90,0.105,0.895,0.0,5,theory_closure
91,0.105,0.895,0.0,5,theory_closure
92,0.105,0.895,0.0,5,theory_closure
93,0.105,0.895,0.0,5,theory_closure
94,0.105,0.895,0.0,5,theory_closure
95,0.105,0.895,0.0,5,theory_closure
96,0.105,0.895,0.0,5,theory_closure
97,0.105,0.895,0.0,5,theory_closure
98,0.105,0.895,0.0,5,theory_closure
