safety_fee_multiple,deterrence_success_rate,n_valid_agents,candidate_share_f,candidate_local_eq_rate,c_star,run_id
0.0,0.0,200,0.36,0.9861111111111112,31.824486589502573,20
0.5,0.0,200,0.36,0.9861111111111112,31.824486589502573,20
1.0,1.0,200,0.36,0.9861111111111112,31.824486589502573,20
1.5,1.0,200,0.36,0.9861111111111112,31.824486589502573,20
2.0,1.0,200,0.36,0.9861111111111112,31.824486589502573,20
0.0,0.0,200,0.36,0.9583333333333334,30.584553186701754,21
0.5,0.0,200,0.36,0.9583333333333334,30.584553186701754,21
1.0,1.0,200,0.36,0.9583333333333334,30.584553186701754,21
1.5,1.0,200,0.36,0.9583333333333334,30.584553186701754,21
2.0,1.0,200,0.36,0.9583333333333334,30.584553186701754,21
0.0,0.0,200,0.36,0.9861111111111112,31.531217301351006,22
0.5,0.0,200,0.36,0.9861111111111112,31.531217301351006,22
1.0,1.0,200,0.36,0.9861111111111112,31.531217301351006,22
1.5,1.0,200,0.36,0.9861111111111112,31.531217301351006,22
2.0,1.0,200,0.36,0.9861111111111112,31.531217301351006,22
0.0,0.0,200,0.36,0.9722222222222222,33.94936930260621,23
0.5,0.0,200,0.36,0.9722222222222222,33.94936930260621,23
1.0,1.0,200,0.36,0.9722222222222222,33.94936930260621,23
1.5,1.0,200,0.36,0.9722222222222222,33.94936930260621,23
2.0,1.0,200,0.36,0.9722222222222222,33.94936930260621,23
0.0,0.0,200,0.36,0.9583333333333334,31.086395990788503,24
0.5,0.0,200,0.36,0.9583333333333334,31.086395990788503,24
1.0,1.0,200,0.36,0.9583333333333334,31.086395990788503,24
1.5,1.0,200,0.36,0.9583333333333334,31.086395990788503,24
2.0,1.0,200,0.36,0.9583333333333334,31.086395990788503,24
0.0,0.0,200,0.36,0.9861111111111112,32.875525671169015,25
0.5,0.0,200,0.36,0.9861111111111112,32.875525671169015,25
1.0,1.0,200,0.36,0.9861111111111112,32.875525671169015,25
1.5,1.0,200,0.36,0.9861111111111112,32.875525671169015,25
2.0,1.0,200,0.36,0.9861111111111112,32.875525671169015,25
0.0,0.0,200,0.36,0.9722222222222222,34.78677167799178,26
0.5,0.0,200,0.36,0.9722222222222222,34.78677167799178,26
1.0,1.0,200,0.36,0.9722222222222222,34.78677167799178,26
1.5,1.0,200,0.36,0.9722222222222222,34.78677167799178,26
2.0,1.0,200,0.36,0.9722222222222222,34.78677167799178,26
0.0,0.0,200,0.36,0.9722222222222222,36.85004392182313,27
0.5,0.0,200,0.36,0.9722222222222222,36.85004392182313,27
1.0,1.0,200,0.36,0.9722222222222222,36.85004392182313,27
1.5,1.0,200,0.36,0.9722222222222222,36.85004392182313,27
2.0,1.0,200,0.36,0.9722222222222222,36.85004392182313,27
0.0,0.0,200,0.36,0.9583333333333334,32.3340868475739,28
0.5,0.0,200,0.36,0.9583333333333334,32.3340868475739,28
1.0,1.0,200,0.36,0.9583333333333334,32.3340868475739,28
1.5,1.0,200,0.36,0.9583333333333334,32.3340868475739,28
2.0,1.0,200,0.36,0.9583333333333334,32.3340868475739,28
0.0,0.0,200,0.36,0.9861111111111112,32.136614018855944,29
0.5,0.0,200,0.36,0.9861111111111112,32.136614018855944,29
1.0,1.0,200,0.36,0.9861111111111112,32.136614018855944,29
1.5,1.0,200,0.36,0.9861111111111112,32.136614018855944,29
2.0,1.0,200,0.36,0.9861111111111112,32.136614018855944,29
0.0,0.0,200,0.36,0.9444444444444444,31.49369546694882,30
0.5,0.0,200,0.36,0.9444444444444444,31.49369546694882,30
1.0,1.0,200,0.36,0.9444444444444444,31.49369546694882,30
1.5,1.0,200,0.36,0.9444444444444444,31.49369546694882,30
2.0,1.0,200,0.36,0.9444444444444444,31.49369546694882,30
0.0,0.0,200,0.36,0.9305555555555556,33.397674393085055,31
0.5,0.0,200,0.36,0.9305555555555556,33.397674393085055,31
1.0,1.0,200,0.36,0.9305555555555556,33.397674393085055,31
1.5,1.0,200,0.36,0.9305555555555556,33.397674393085055,31
2.0,1.0,200,0.36,0.9305555555555556,33.397674393085055,31
0.0,0.0,200,0.36,0.9583333333333334,41.01747063129105,32
0.5,0.0,200,0.36,0.9583333333333334,41.01747063129105,32
1.0,1.0,200,0.36,0.9583333333333334,41.01747063129105,32
1.5,1.0,200,0.36,0.9583333333333334,41.01747063129105,32
2.0,1.0,200,0.36,0.9583333333333334,41.01747063129105,32
0.0,0.0,200,0.36,0.9444444444444444,32.016779490335324,33
0.5,0.0,200,0.36,0.9444444444444444,32.016779490335324,33
1.0,1.0,200,0.36,0.9444444444444444,32.016779490335324,33
1.5,1.0,200,0.36,0.9444444444444444,32.016779490335324,33
2.0,1.0,200,0.36,0.9444444444444444,32.016779490335324,33
0.0,0.0,200,0.36,1.0,33.09860014409168,34
0.5,0.0,200,0.36,1.0,33.09860014409168,34
1.0,1.0,200,0.36,1.0,33.09860014409168,34
1.5,1.0,200,0.36,1.0,33.09860014409168,34
2.0,1.0,200,0.36,1.0,33.09860014409168,34
0.0,0.0,200,0.36,0.9722222222222222,32.239397647661086,35
0.5,0.0,200,0.36,0.9722222222222222,32.239397647661086,35
1.0,1.0,200,0.36,0.9722222222222222,32.239397647661086,35
1.5,1.0,200,0.36,0.9722222222222222,32.239397647661086,35
2.0,1.0,200,0.36,0.9722222222222222,32.239397647661086,35
