beta,feasible_share,all_core_feasible,mean_slack,run_id
0.65,0.925,0,24.73256442112919,14
0.7,0.925,0,26.70146210128208,14
0.75,0.925,0,28.67035978143496,14
0.8,0.925,0,30.639257461587853,14
0.85,0.975,0,32.60815514174074,14
0.9,0.975,0,34.577052821893616,14
0.95,0.975,0,36.5459505020465,14
1.0,0.975,0,38.514848182199394,14
0.0,0.6,0,-0.8107710958598077,15
0.05,0.675,0,0.9979923254959594,15
0.1,0.675,0,2.806755746851727,15
0.15,0.725,0,4.615519168207493,15
0.2,0.775,0,6.424282589563262,15
0.25,0.8,0,8.233046010919027,15
0.3,0.875,0,10.041809432274793,15
0.35,0.875,0,11.850572853630561,15
0.4,0.9,0,13.659336274986327,15
0.45,0.9,0,15.468099696342094,15
0.5,0.925,0,17.27686311769786,15
0.55,0.95,0,19.08562653905363,15
0.6,0.95,0,20.89438996040939,15
0.65,0.95,0,22.703153381765162,15
0.7,0.95,0,24.511916803120933,15
0.75,0.95,0,26.320680224476696,15
0.8,0.95,0,28.129443645832463,15
0.85,0.95,0,29.938207067188227,15
0.9,0.95,0,31.746970488543997,15
0.95,0.95,0,33.55573390989976,15
1.0,0.95,0,35.36449733125553,15
0.0,0.65,0,0.4755990031613667,16
0.05,0.7,0,2.35923711296556,16
0.1,0.725,0,4.242875222769754,16
0.15,0.825,0,6.126513332573947,16
0.2,0.825,0,8.010151442378143,16
0.25,0.9,0,9.893789552182337,16
0.3,0.9,0,11.777427661986527,16
0.35,0.925,0,13.661065771790721,16
0.4,0.925,0,15.544703881594922,16
0.45,0.925,0,17.428341991399115,16
0.5,0.925,0,19.311980101203307,16
0.55,0.95,0,21.195618211007503,16
0.6,0.95,0,23.07925632081169,16
0.65,0.95,0,24.96289443061589,16
0.7,0.975,0,26.84653254042008,16
0.75,1.0,1,28.730170650224277,16
0.8,1.0,1,30.613808760028473,16
0.85,1.0,1,32.497446869832665,16
0.9,1.0,1,34.38108497963687,16
0.95,1.0,1,36.26472308944105,16
1.0,1.0,1,38.148361199245244,16
0.0,0.625,0,-1.2255701151591025,17
0.05,0.75,0,0.6066179622287147,17
0.1,0.775,0,2.4388060396165328,17
0.15,0.825,0,4.270994117004349,17
0.2,0.85,0,6.103182194392167,17
0.25,0.85,0,7.935370271779985,17
0.3,0.875,0,9.7675583491678,17
0.35,0.875,0,11.599746426555615,17
0.4,0.9,0,13.431934503943435,17
0.45,0.9,0,15.264122581331254,17
0.5,0.9,0,17.09631065871907,17
0.55,0.925,0,18.92849873610689,17
0.6,0.925,0,20.760686813494704,17
0.65,0.95,0,22.59287489088252,17
0.7,0.95,0,24.425062968270336,17
0.75,0.95,0,26.257251045658155,17
0.8,0.975,0,28.089439123045974,17
0.85,0.975,0,29.921627200433797,17
0.9,0.975,0,31.753815277821605,17
0.95,0.975,0,33.58600335520943,17
1.0,0.975,0,35.41819143259725,17
0.0,0.675,0,0.164190819665043,18
0.05,0.775,0,2.0053636035938025,18
0.1,0.775,0,3.8465363875225633,18
0.15,0.8,0,5.687709171451324,18
0.2,0.825,0,7.5288819553800845,18
0.25,0.875,0,9.370054739308845,18
0.3,0.9,0,11.211227523237605,18
0.35,0.925,0,13.052400307166362,18
0.4,0.925,0,14.893573091095124,18
0.45,0.95,0,16.734745875023883,18
0.5,0.95,0,18.575918658952645,18
0.55,0.95,0,20.417091442881407,18
0.6,0.95,0,22.258264226810162,18
0.65,0.95,0,24.099437010738928,18
0.7,0.95,0,25.940609794667683,18
0.75,0.975,0,27.78178257859645,18
0.8,0.975,0,29.622955362525204,18
0.85,0.975,0,31.464128146453966,18
0.9,0.975,0,33.30530093038273,18
0.95,0.975,0,35.14647371431149,18
1.0,0.975,0,36.987646498240245,18
0.0,0.525,0,-8.084602201414166,19
0.05,0.625,0,-6.362108670181934,19
0.1,0.625,0,-4.6396151389497025,19
0.15,0.675,0,-2.9171216077174704,19
0.2,0.725,0,-1.194628076485238,19
0.25,0.75,0,0.527865454746993,19
0.3,0.75,0,2.250358985979222,19
0.35,0.75,0,3.9728525172114537,19
0.4,0.825,0,5.695346048443691,19
0.45,0.825,0,7.4178395796759204,19
0.5,0.85,0,9.140333110908148,19
0.55,0.875,0,10.862826642140382,19
0.6,0.9,0,12.585320173372612,19
0.65,0.925,0,14.307813704604849,19
0.7,0.925,0,16.030307235837075,19
0.75,0.925,0,17.75280076706931,19
0.8,0.925,0,19.47529429830154,19
0.85,0.925,0,21.197787829533773,19
0.9,0.925,0,22.920281360766005,19
0.95,0.925,0,24.642774891998236,19
1.0,0.95,0,26.365268423230464,19
0.0,0.8,0,-1.0217491230972735,20
0.05,0.825,0,0.484017030582106,20
0.1,0.825,0,1.9897831842614875,20
0.15,0.85,0,3.4955493379408678,20
0.2,0.85,0,5.001315491620248,20
0.25,0.875,0,6.50708164529963,20
0.3,0.875,0,8.012847798979008,20
0.35,0.9,0,9.518613952658388,20
0.4,0.9,0,11.02438010633777,20
0.45,0.9,0,12.530146260017153,20
0.5,0.9,0,14.035912413696531,20
0.55,0.925,0,15.54167856737591,20
0.6,0.95,0,17.047444721055292,20
0.65,0.95,0,18.553210874734667,20
0.7,0.95,0,20.058977028414045,20
0.75,0.95,0,21.56474318209343,20
0.8,0.95,0,23.07050933577281,20
0.85,0.95,0,24.576275489452186,20
0.9,0.95,0,26.08204164313157,20
0.95,0.975,0,27.58780779681095,20
