t,W,run_id,source,mechanism,beta_rhood
7,1553.3683142153131,0,simulation_rhood,rhood,0.05
8,1612.6647525777425,0,simulation_rhood,rhood,0.05
9,1657.3123837472826,0,simulation_rhood,rhood,0.05
10,1676.7686925286678,0,simulation_rhood,rhood,0.05
11,1721.399273867529,0,simulation_rhood,rhood,0.05
12,1721.7256512650129,0,simulation_rhood,rhood,0.05
13,1714.8956800712972,0,simulation_rhood,rhood,0.05
14,1706.055822854046,0,simulation_rhood,rhood,0.05
15,1701.8603822093082,0,simulation_rhood,rhood,0.05
16,1690.8816948817557,0,simulation_rhood,rhood,0.05
17,1657.1104842949808,0,simulation_rhood,rhood,0.05
18,1631.669428301293,0,simulation_rhood,rhood,0.05
19,1604.1337172225553,0,simulation_rhood,rhood,0.05
20,1594.3264620257228,0,simulation_rhood,rhood,0.05
21,1561.7487213558288,0,simulation_rhood,rhood,0.05
22,1541.9493630480906,0,simulation_rhood,rhood,0.05
23,1519.0335124043497,0,simulation_rhood,rhood,0.05
24,1497.8884309704135,0,simulation_rhood,rhood,0.05
25,1482.1048548086983,0,simulation_rhood,rhood,0.05
26,1457.3990582088193,0,simulation_rhood,rhood,0.05
27,1449.8463308037442,0,simulation_rhood,rhood,0.05
28,1433.1494480996885,0,simulation_rhood,rhood,0.05
29,1420.0820182945888,0,simulation_rhood,rhood,0.05
30,1404.8105134548944,0,simulation_rhood,rhood,0.05
31,1368.4772475258728,0,simulation_rhood,rhood,0.05
32,1348.6642129057657,0,simulation_rhood,rhood,0.05
33,1330.2162925881134,0,simulation_rhood,rhood,0.05
34,1330.2162925881134,0,simulation_rhood,rhood,0.05
35,1280.1334152401494,0,simulation_rhood,rhood,0.05
36,1280.1334152401494,0,simulation_rhood,rhood,0.05
37,1162.54786426649,0,simulation_rhood,rhood,0.05
38,1114.4008726301495,0,simulation_rhood,rhood,0.05
39,1084.4381947382158,0,simulation_rhood,rhood,0.05
40,1078.8057458518492,0,simulation_rhood,rhood,0.05
41,1036.4939963073434,0,simulation_rhood,rhood,0.05
42,1036.4939963073434,0,simulation_rhood,rhood,0.05
43,1000.8093015073932,0,simulation_rhood,rhood,0.05
44,994.591528335262,0,simulation_rhood,rhood,0.05
45,977.5598213703947,0,simulation_rhood,rhood,0.05
46,958.2310214089089,0,simulation_rhood,rhood,0.05
47,958.2310214089089,0,simulation_rhood,rhood,0.05
48,955.9058616462448,0,simulation_rhood,rhood,0.05
49,951.6776846579683,0,simulation_rhood,rhood,0.05
50,951.6776846579683,0,simulation_rhood,rhood,0.05
51,946.0673775446248,0,simulation_rhood,rhood,0.05
52,946.0673775446248,0,simulation_rhood,rhood,0.05
53,924.7725610906887,0,simulation_rhood,rhood,0.05
54,924.7725610906887,0,simulation_rhood,rhood,0.05
55,908.4250330520849,0,simulation_rhood,rhood,0.05
56,891.9311738748206,0,simulation_rhood,rhood,0.05
57,867.3774926576884,0,simulation_rhood,rhood,0.05
58,864.3673806753495,0,simulation_rhood,rhood,0.05
59,864.3673806753495,0,simulation_rhood,rhood,0.05
60,854.5764618600465,0,simulation_rhood,rhood,0.05
61,854.5764618600465,0,simulation_rhood,rhood,0.05
62,854.5764618600465,0,simulation_rhood,rhood,0.05
63,832.3076155533672,0,simulation_rhood,rhood,0.05
64,827.346022088132,0,simulation_rhood,rhood,0.05
65,823.3038897539018,0,simulation_rhood,rhood,0.05
66,823.3038897539018,0,simulation_rhood,rhood,0.05
67,823.3038897539018,0,simulation_rhood,rhood,0.05
68,814.7230334643523,0,simulation_rhood,rhood,0.05
69,806.3732594214061,0,simulation_rhood,rhood,0.05
70,806.3732594214061,0,simulation_rhood,rhood,0.05
71,806.3732594214061,0,simulation_rhood,rhood,0.05
72,806.3732594214061,0,simulation_rhood,rhood,0.05
73,806.3732594214061,0,simulation_rhood,rhood,0.05
