W,t,mechanism_label
1369.179563930385,114,RR
1369.179563930385,115,RR
1369.179563930385,116,RR
1369.179563930385,117,RR
1369.179563930385,118,RR
1369.179563930385,119,RR
1369.179563930385,120,RR
958.9255969286748,0,ST
958.2728092875709,1,ST
961.1573180520749,2,ST
975.6113212626307,3,ST
989.1259035838967,4,ST
1020.4882908754842,5,ST
1042.9651007704515,6,ST
1063.1820922055851,7,ST
1083.9981184194216,8,ST
1095.6802271941162,9,ST
1100.1942524066387,10,ST
1097.1785633633401,11,ST
1095.510096248189,12,ST
1097.2662039810175,13,ST
1095.2938507569188,14,ST
1095.0614448769606,15,ST
1095.0614448769606,16,ST
1095.0614448769606,17,ST
1095.0614448769606,18,ST
1095.0614448769606,19,ST
1095.0614448769606,20,ST
1095.0614448769606,21,ST
1095.0614448769606,22,ST
1095.0614448769606,23,ST
1095.0614448769606,24,ST
1095.0614448769606,25,ST
1095.0614448769606,26,ST
1095.0614448769606,27,ST
1095.0614448769606,28,ST
1095.0614448769606,29,ST
1095.0614448769606,30,ST
1095.0614448769606,31,ST
1095.0614448769606,32,ST
1095.0614448769606,33,ST
1095.0614448769606,34,ST
1095.0614448769606,35,ST
1095.0614448769606,36,ST
1095.0614448769606,37,ST
1095.0614448769606,38,ST
1095.0614448769606,39,ST
1095.0614448769606,40,ST
1095.0614448769606,41,ST
1095.0614448769606,42,ST
1095.0614448769606,43,ST
1095.0614448769606,44,ST
1095.0614448769606,45,ST
1095.0614448769606,46,ST
1095.0614448769606,47,ST
1095.0614448769606,48,ST
1095.0614448769606,49,ST
1095.0614448769606,50,ST
1095.0614448769606,51,ST
1095.0614448769606,52,ST
1095.0614448769606,53,ST
1095.0614448769606,54,ST
1095.0614448769606,55,ST
1095.0614448769606,56,ST
1095.0614448769606,57,ST
1095.0614448769606,58,ST
1095.0614448769606,59,ST
1095.0614448769606,60,ST
1095.0614448769606,61,ST
1095.0614448769606,62,ST
1095.0614448769606,63,ST
1095.0614448769606,64,ST
1095.0614448769606,65,ST
1095.0614448769606,66,ST
1095.0614448769606,67,ST
1095.0614448769606,68,ST
1095.0614448769606,69,ST
1095.0614448769606,70,ST
1095.0614448769606,71,ST
1095.0614448769606,72,ST
1095.0614448769606,73,ST
1095.0614448769606,74,ST
1095.0614448769606,75,ST
1095.0614448769606,76,ST
1095.0614448769606,77,ST
1095.0614448769606,78,ST
1095.0614448769606,79,ST
1095.0614448769606,80,ST
1095.0614448769606,81,ST
1095.0614448769606,82,ST
1095.0614448769606,83,ST
1095.0614448769606,84,ST
1095.0614448769606,85,ST
1095.0614448769606,86,ST
1095.0614448769606,87,ST
1095.0614448769606,88,ST
