t,share_N,share_E,share_F,W,C_ext,run_id,regime
23,0.015,0.3,0.685,1450.4898647813166,62.57910570691227,20,primitive_baseline
24,0.015,0.29,0.695,1435.8159540724882,63.36708970059448,20,primitive_baseline
25,0.02,0.275,0.705,1389.557299095375,65.03864420099174,20,primitive_baseline
26,0.02,0.275,0.705,1389.557299095375,65.03864420099174,20,primitive_baseline
27,0.02,0.265,0.715,1384.9830839756025,65.24842213358406,20,primitive_baseline
28,0.02,0.255,0.725,1370.4277708779466,65.90287145046042,20,primitive_baseline
29,0.02,0.25,0.73,1366.9486861686053,66.05427518062918,20,primitive_baseline
30,0.02,0.235,0.745,1327.99428313678,67.67710806776853,20,primitive_baseline
31,0.02,0.215,0.765,1306.4497598363819,68.51426470257243,20,primitive_baseline
32,0.02,0.205,0.775,1279.2794751186443,69.52637452532728,20,primitive_baseline
33,0.02,0.19,0.79,1221.5832385219067,71.5421549749157,20,primitive_baseline
34,0.02,0.18,0.8,1186.441024996034,72.69183768759791,20,primitive_baseline
35,0.02,0.175,0.805,1181.0723310048634,72.86223109550428,20,primitive_baseline
36,0.02,0.165,0.815,1166.9402453095918,73.30352086486407,20,primitive_baseline
37,0.02,0.15,0.83,1122.0234568877465,74.66027885283022,20,primitive_baseline
38,0.02,0.135,0.845,1086.3144453945467,75.69602924575034,20,primitive_baseline
39,0.02,0.13,0.85,1026.2091740092847,77.35453029087861,20,primitive_baseline
40,0.02,0.12,0.86,974.4498337769469,78.72149962581204,20,primitive_baseline
41,0.02,0.11,0.87,948.8923207246403,79.37482654182679,20,primitive_baseline
42,0.02,0.1,0.88,908.2254883230762,80.38454954092839,20,primitive_baseline
43,0.02,0.1,0.88,908.2254883230762,80.38454954092839,20,primitive_baseline
44,0.02,0.1,0.88,908.2254883230762,80.38454954092839,20,primitive_baseline
45,0.02,0.095,0.885,891.9143024967816,80.78495146516966,20,primitive_baseline
46,0.02,0.095,0.885,891.9143024967816,80.78495146516966,20,primitive_baseline
47,0.02,0.09,0.89,886.9707992109898,80.90454886017697,20,primitive_baseline
48,0.02,0.08,0.9,870.8425118371165,81.29317955006327,20,primitive_baseline
49,0.02,0.08,0.9,870.8425118371165,81.29317955006327,20,primitive_baseline
50,0.02,0.075,0.905,859.2996945579107,81.5696213641479,20,primitive_baseline
51,0.02,0.075,0.905,859.2996945579107,81.5696213641479,20,primitive_baseline
52,0.02,0.075,0.905,859.2996945579107,81.5696213641479,20,primitive_baseline
53,0.02,0.065,0.915,837.1614654636005,82.09373114815843,20,primitive_baseline
54,0.02,0.065,0.915,837.1614654636005,82.09373114815843,20,primitive_baseline
55,0.02,0.065,0.915,837.1614654636005,82.09373114815843,20,primitive_baseline
56,0.02,0.065,0.915,837.1614654636005,82.09373114815843,20,primitive_baseline
57,0.02,0.065,0.915,837.1614654636005,82.09373114815843,20,primitive_baseline
0,0.0,0.94,0.06,785.6056602898913,6.646097136026993,20,safety_only
1,0.01,0.91,0.08,807.2913529566154,8.528813177060362,20,safety_only
2,0.01,0.875,0.115,903.8680136052927,13.35968899525362,20,safety_only
3,0.01,0.83,0.16,1004.3609391371432,17.914247151501353,20,safety_only
4,0.01,0.78,0.21,1082.5593657651557,21.24582969580454,20,safety_only
5,0.01,0.74,0.25,1138.6152171622548,23.53827339257691,20,safety_only
6,0.01,0.72,0.27,1199.77185746071,25.958900430768416,20,safety_only
7,0.01,0.68,0.31,1279.5912369883958,28.988524919343444,20,safety_only
8,0.01,0.68,0.31,1279.5912369883958,28.988524919343444,20,safety_only
