t,share_N,share_E,share_F,W,C_ext,run_id,fee_multiple
98,0.0,0.645,0.355,1518.1979037403944,29.7093621924852,25,1.5
99,0.0,0.625,0.375,1566.3646308844272,31.458387271674567,25,1.5
100,0.0,0.64,0.36,1547.685589088156,30.78366261940213,25,1.5
0,0.0,0.94,0.06,961.6404389933974,3.6391022368658703,25,2.0
1,0.0,0.89,0.11,1028.0219896857916,8.883029581540306,25,2.0
2,0.0,0.845,0.155,1106.850577336937,12.767196457928883,25,2.0
3,0.0,0.805,0.195,1223.2976952397862,17.983542687189022,25,2.0
4,0.0,0.765,0.235,1282.7221827065716,20.501134946851064,25,2.0
5,0.0,0.725,0.275,1354.1483368596075,23.415897215501566,25,2.0
6,0.0,0.685,0.315,1425.9554718888342,26.233640043429475,25,2.0
7,0.0,0.645,0.355,1549.4150496325483,30.838670361560176,25,2.0
8,0.0,0.66,0.34,1516.4803518381323,29.640711484214528,25,2.0
9,0.0,0.675,0.325,1471.5891689602124,27.972919249214577,25,2.0
10,0.0,0.645,0.355,1541.7967166866708,30.569019691012546,25,2.0
11,0.0,0.615,0.385,1598.065153585572,32.581690524698594,25,2.0
12,0.0,0.62,0.38,1596.7409235251744,32.53477636233949,25,2.0
13,0.0,0.645,0.355,1524.0074000748596,29.92058005519226,25,2.0
14,0.0,0.625,0.375,1556.6767905863635,31.10855503938584,25,2.0
15,0.0,0.63,0.37,1551.3706686163177,30.916822221448534,25,2.0
16,0.0,0.645,0.355,1516.8083322792904,29.65890042096418,25,2.0
17,0.0,0.62,0.38,1591.5569288268523,32.35627478660717,25,2.0
18,0.0,0.625,0.375,1589.448650893609,32.281335516173556,25,2.0
19,0.0,0.645,0.355,1511.992223749687,29.48047436921788,25,2.0
20,0.0,0.66,0.34,1496.6307516966012,28.91349562126513,25,2.0
21,0.0,0.63,0.37,1592.9071925233259,32.39967957989579,25,2.0
22,0.0,0.635,0.365,1577.3152684475954,31.844749764147252,25,2.0
23,0.0,0.66,0.34,1544.7596371319357,30.674649105651078,25,2.0
24,0.0,0.63,0.37,1595.7118855151164,32.49576626914416,25,2.0
